[0.086s][info][class,load  ] java.util.ArrayList source: shared objects file
[0.086s][info][class,load  ] java.lang.StackTraceElement source: shared objects file
[0.086s][info][class,load  ] java.nio.Buffer source: shared objects file
[0.086s][info][class,load  ] java.lang.StackWalker source: shared objects file
[0.086s][info][class,load  ] java.lang.StackStreamFactory$AbstractStackWalker source: shared objects file
[0.086s][info][class,load  ] java.lang.StackWalker$StackFrame source: shared objects file
[0.086s][info][class,load  ] java.lang.StackFrameInfo source: shared objects file
[0.086s][info][class,load  ] java.lang.LiveStackFrame source: shared objects file
[0.086s][info][class,load  ] java.lang.LiveStackFrameInfo source: shared objects file
[0.086s][info][class,load  ] java.util.concurrent.locks.AbstractOwnableSynchronizer source: shared objects file
[0.086s][info][class,load  ] java.lang.Boolean source: shared objects file
[0.086s][info][class,load  ] java.lang.Character source: shared objects file
[0.086s][info][class,load  ] java.lang.Number source: shared objects file
[0.086s][info][class,load  ] java.lang.Float source: shared objects file
[0.086s][info][class,load  ] java.lang.Double source: shared objects file
[0.086s][info][class,load  ] java.lang.Byte source: shared objects file
[0.086s][info][class,load  ] java.lang.Short source: shared objects file
[0.086s][info][class,load  ] java.lang.Integer source: shared objects file
[0.086s][info][class,load  ] java.lang.Long source: shared objects file
[0.086s][info][class,load  ] java.util.Iterator source: shared objects file
[0.086s][info][class,load  ] java.lang.reflect.RecordComponent source: shared objects file
[0.086s][info][class,load  ] jdk.internal.vm.vector.VectorSupport source: shared objects file
[0.086s][info][class,load  ] jdk.internal.vm.vector.VectorSupport$VectorPayload source: shared objects file
[0.086s][info][class,load  ] jdk.internal.vm.vector.VectorSupport$Vector source: shared objects file
[0.086s][info][class,load  ] jdk.internal.vm.vector.VectorSupport$VectorMask source: shared objects file
[0.086s][info][class,load  ] jdk.internal.vm.vector.VectorSupport$VectorShuffle source: shared objects file
[0.086s][info][class,load  ] jdk.internal.vm.FillerObject source: shared objects file
[0.086s][info][class,load  ] java.lang.Integer$IntegerCache source: shared objects file
[0.086s][info][class,load  ] java.lang.Long$LongCache source: shared objects file
[0.086s][info][class,load  ] java.lang.Byte$ByteCache source: shared objects file
[0.086s][info][class,load  ] java.lang.Short$ShortCache source: shared objects file
[0.086s][info][class,load  ] java.lang.Character$CharacterCache source: shared objects file
[0.086s][info][class,load  ] java.util.jar.Attributes$Name source: shared objects file
[0.086s][info][class,load  ] java.util.ImmutableCollections$AbstractImmutableMap source: shared objects file
[0.086s][info][class,load  ] java.util.ImmutableCollections$MapN source: shared objects file
[0.086s][info][class,load  ] sun.util.locale.BaseLocale source: shared objects file
[0.086s][info][class,load  ] jdk.internal.module.ArchivedModuleGraph source: shared objects file
[0.086s][info][class,load  ] java.lang.module.ModuleFinder source: shared objects file
[0.086s][info][class,load  ] jdk.internal.module.SystemModuleFinders$SystemModuleFinder source: shared objects file
[0.086s][info][class,load  ] java.util.ImmutableCollections$AbstractImmutableCollection source: shared objects file
[0.086s][info][class,load  ] java.util.Set source: shared objects file
[0.087s][info][class,load  ] java.util.ImmutableCollections$AbstractImmutableSet source: shared objects file
[0.087s][info][class,load  ] java.util.ImmutableCollections$SetN source: shared objects file
[0.087s][info][class,load  ] java.lang.module.ModuleReference source: shared objects file
[0.087s][info][class,load  ] jdk.internal.module.ModuleReferenceImpl source: shared objects file
[0.087s][info][class,load  ] java.lang.module.ModuleDescriptor source: shared objects file
[0.087s][info][class,load  ] java.lang.module.ModuleDescriptor$Version source: shared objects file
[0.087s][info][class,load  ] java.lang.module.ModuleDescriptor$Requires source: shared objects file
[0.087s][info][class,load  ] java.util.ImmutableCollections$Set12 source: shared objects file
[0.087s][info][class,load  ] java.lang.module.ModuleDescriptor$Requires$Modifier source: shared objects file
[0.087s][info][class,load  ] java.lang.module.ModuleDescriptor$Provides source: shared objects file
[0.087s][info][class,load  ] java.util.ImmutableCollections$AbstractImmutableList source: shared objects file
[0.087s][info][class,load  ] java.util.ImmutableCollections$List12 source: shared objects file
[0.087s][info][class,load  ] java.util.ImmutableCollections$ListN source: shared objects file
[0.087s][info][class,load  ] java.net.URI source: shared objects file
[0.087s][info][class,load  ] java.util.function.Supplier source: shared objects file
[0.087s][info][class,load  ] jdk.internal.module.SystemModuleFinders$2 source: shared objects file
[0.087s][info][class,load  ] jdk.internal.module.ModuleHashes$HashSupplier source: shared objects file
[0.087s][info][class,load  ] jdk.internal.module.SystemModuleFinders$3 source: shared objects file
[0.088s][info][class,load  ] java.lang.module.ModuleDescriptor$Exports source: shared objects file
[0.088s][info][class,load  ] java.lang.module.ModuleDescriptor$Opens source: shared objects file
[0.088s][info][class,load  ] jdk.internal.module.ModuleTarget source: shared objects file
[0.088s][info][class,load  ] jdk.internal.module.ModuleHashes source: shared objects file
[0.088s][info][class,load  ] java.util.Collections$UnmodifiableMap source: shared objects file
[0.088s][info][class,load  ] java.util.HashMap source: shared objects file
[0.088s][info][class,load  ] java.util.Map$Entry source: shared objects file
[0.088s][info][class,load  ] java.util.HashMap$Node source: shared objects file
[0.088s][info][class,load  ] java.lang.module.Configuration source: shared objects file
[0.088s][info][class,load  ] java.lang.module.ResolvedModule source: shared objects file
[0.088s][info][class,load  ] java.util.function.Function source: shared objects file
